"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бабій
Григорій
Ярославович","Басараба
Петро
Дмитрович","Босий
Володимир
Ігорович","Величко
Роман
Андрійович","Гаршин
Віктор
Миколайович","Глова
Ігор
Григорович","Жук
Ганна
Михайлівна","Козак
Тарас
Романович","Пазиняк
Василь
Степанович","Савуляк
Сергій
Маркіянович","Сміщук
Сергій
Леонідович","Франко
Степан
Михайлович","Якимович
Богдан
Зіновійович","Дата підписання протоколу"
"460473","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Львівська, 7, м.Жовква, Жовківський р-н, Львівська обл., 80300","1830","516","1810","30","1285","29","1314","","0","1285","29","1314","40","1274","5","5","8","1","10","1","4","401","786","31","11","1","10","29.10.12"
"460474","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Гагаріна, 2, с.Блищиводи, Жовківський р-н, Львівська обл., 80360","336","121","332","28","187","28","215","","0","187","28","215","5","210","0","1","3","1","1","1","1","136","63","3","0","0","0","29.10.12"
"460475","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Шевченка, 2, с.Зіболки, Жовківський р-н, Львівська обл., 80360","1014","248","1005","56","713","53","766","","0","713","53","766","20","746","4","4","1","5","2","2","2","328","376","11","6","0","5","29.10.12"
"460476","122","Львівська область","магазин, 1-й поверх
вул.Незалежності, 35, с.Великі Передримихи, Жовківський р-н, Львівська обл., 80361","390","111","392","26","255","24","279","","0","255","24","279","13","266","0","0","1","3","2","0","0","119","133","4","3","0","1","31.10.12"
"460477","122","Львівська область","сільська рада, зала засідань, 1-й поверх
вул.Дорошенка, 9, с.Нова Скварява, Жовківський р-н, Львівська обл., 80353","852","208","849","59","589","55","644","","0","589","55","644","13","631","1","2","5","2","2","2","3","271","313","14","11","2","3","29.10.12"
"460478","122","Львівська область","народний дім, фойє, 1-й поверх
вул.Шевченка, 4А, с.Стара Скварява, Жовківський р-н, Львівська обл., 80354","798","147","801","40","614","37","651","","0","614","37","651","11","640","2","1","15","1","1","2","4","373","222","14","1","1","3","28.10.12"
"460479","122","Львівська область","школа, фойє, 1-й поверх
вул.Василя Стуса, 13, с.Сопошин, Жовківський р-н, Львівська обл., 80356","1194","267","1182","44","884","43","927","","0","883","43","926","21","905","3","3","4","3","1","2","3","452","401","23","8","1","1","29.10.12"
"460480","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Центральна, 94, с.Мацошин, Жовківський р-н, Львівська обл., 80357","720","193","717","23","505","22","527","","0","505","22","527","14","513","1","0","1","3","0","2","3","318","173","8","4","0","0","29.10.12"
"460481","122","Львівська область","школа, актова зала, 1-й поверх
вул.Центральна, 20, с.Смереків, Жовківський р-н, Львівська обл., 80358","744","201","741","31","516","27","543","","0","516","27","543","8","535","1","1","0","4","1","1","1","356","133","27","6","2","2","29.10.12"
"460482","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Кут-1, 12А, с.Мокротин, Жовківський р-н, Львівська обл., 80355","726","202","718","42","493","31","524","","0","493","31","524","34","490","2","0","4","1","2","4","3","297","139","25","11","2","0","28.10.12"
"460483","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Б.Хмельницького, 22, с.Могиляни, Жовківський р-н, Львівська обл., 80361","162","27","162","1","134","1","135","","0","134","1","135","1","134","2","0","0","2","0","0","0","54","62","13","0","0","1","29.10.12"
"460484","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Яремчука, 1, с.Артасів, Жовківський р-н, Львівська обл., 80361","444","109","438","20","315","20","335","","0","315","20","335","8","327","2","1","0","0","2","0","2","204","104","10","1","0","1","01.11.12"
"460485","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.І.Франка, 72, с.Зарудці, Жовківський р-н, Львівська обл., 80376","534","174","525","44","319","41","360","","0","319","41","360","17","343","2","1","3","2","0","0","2","184","132","8","5","1","3","29.10.12"
"460486","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Є.Коновальця, 165, с.Зашків, Жовківський р-н, Львівська обл., 80375","1152","337","1133","50","769","46","815","","0","769","46","815","22","793","5","0","1","5","2","1","2","431","289","44","8","0","5","29.10.12"
"460487","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Т.Шевченка, 52, с.Завадів, Жовківський р-н, Львівська обл., 80375","198","61","197","9","131","6","137","","0","131","6","137","3","134","0","1","1","0","0","0","2","77","40","10","2","0","1","29.10.12"
"460488","122","Львівська область","школа, фойє, 1-й поверх
вул.Залізнична, 1, с.Мервичі, Жовківський р-н, Львівська обл., 80370","954","366","946","13","575","13","588","","0","575","13","588","16","572","7","2","8","2","2","0","4","285","226","26","6","2","2","28.10.12"
"460489","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Городня, 2, с.Костеїв, Жовківський р-н, Львівська обл., 80370","156","40","155","4","112","4","116","","0","112","4","116","1","115","0","0","2","0","1","0","0","95","16","0","1","0","0","28.10.12"
"460490","122","Львівська область","народний дім, актова зала, 1-й поверх
пл.Незалежності, 24, смт Куликів, Жовківський р-н, Львівська обл., 80362","1512","437","1497","20","1059","16","1075","","0","1059","16","1075","56","1019","3","1","5","2","5","1","3","549","421","11","15","0","3","29.10.12"
"460491","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Винниченка, 1, смт Куликів, Жовківський р-н, Львівська обл., 80362","1566","500","1542","26","1043","23","1066","","0","1043","23","1066","34","1032","6","2","6","4","3","1","11","545","408","18","14","2","12","29.10.12"
"460492","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.УПА, 98, с.Звертів, Жовківський р-н, Львівська обл., 80374","330","87","325","27","216","27","243","","0","216","27","243","9","234","2","0","2","1","2","1","3","165","48","8","0","2","0","29.10.12"
"460493","122","Львівська область","школа, кабінет української мови та літератури, 1-й поверх
вул.Шевченка, 39, с.Гребінці, Жовківський р-н, Львівська обл., 80362","612","150","607","16","446","16","462","","0","446","16","462","15","447","1","1","2","0","3","2","1","244","160","22","7","0","4","29.10.12"
"460494","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Шевченка, 26, с.Нове Село, Жовківський р-н, Львівська обл., 80362","492","105","490","39","350","37","387","","0","350","37","387","8","379","1","3","2","1","0","0","3","215","137","11","2","1","3","30.10.12"
"460495","122","Львівська область","садок, фойє, 1-й поверх
вул.Батівка, 16, с.Віднів, Жовківський р-н, Львівська обл., 80374","324","69","325","18","237","18","255","","0","237","18","255","7","248","3","0","2","2","1","0","0","187","41","8","3","1","0","28.10.12"
"460496","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Центральна, 9А, с.Сулимів, Жовківський р-н, Львівська обл., 80374","456","95","462","16","347","14","361","","0","347","14","361","11","350","0","0","2","0","0","0","1","242","76","24","4","0","1","29.10.12"
"460497","122","Львівська область","народний дім, актова зала, 1-й поверх
вул.Незалежності, 43, с.Стронятин, Жовківський р-н, Львівська обл., 80362","336","72","337","22","242","22","264","","0","242","22","264","8","256","1","1","1","0","1","0","1","132","105","10","0","2","2","01.11.12"
"460498","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Лисенка, 1Б, с.Великий Дорошів, Жовківський р-н, Львівська обл., 80364","906","229","911","35","643","34","677","","0","643","34","677","16","661","2","1","4","2","3","0","5","389","218","21","11","0","5","29.10.12"
"460499","122","Львівська область","школа, фойє, 1-й поверх
вул.Т.Шевченка, 40, с.Гряда, Жовківський р-н, Львівська обл., 80380","1326","417","1320","45","866","43","909","","0","866","43","909","18","891","5","1","5","6","3","3","4","468","369","16","7","1","3","29.10.12"
"460500","122","Львівська область","школа, к.1, 1-й поверх
вул.Зелена, 5, с.Малі Грибовичі, Жовківський р-н, Львівська обл., 80380","486","150","485","31","308","28","336","","0","308","28","336","12","324","1","0","1","0","1","4","1","207","95","6","3","2","3","29.10.12"
"460501","122","Львівська область","школа, актова зала, 1-й поверх
вул.В.Стуса, 1А, с.Великі Грибовичі, Жовківський р-н, Львівська обл., 80380","1344","367","1334","32","947","30","977","","0","947","30","977","30","947","4","3","2","0","4","5","4","421","441","17","24","3","19","29.10.12"
"460502","122","Львівська область","школа, спортивна зала, 1-й поверх
вул.Тараса Шевченка, 21, м.Дубляни, Жовківський р-н, Львівська обл., 80381","2292","636","2267","15","1645","11","1656","","0","1645","11","1656","56","1600","8","5","17","4","9","11","12","720","732","23","31","9","19","29.10.12"
"460503","122","Львівська область","ЛДАУ, світлиця, 1-й поверх
вул.Шевченка, 8, м.Дубляни, Жовківський р-н, Львівська обл., 80381","1716","871","1695","0","845","0","845","","0","845","0","845","31","814","8","2","7","5","3","2","4","527","226","8","8","7","7","29.10.12"
