"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Вакулін
Дмитро
Сергійович","Голубєв
Михайло
Михайлович","Груба
Григорій
Іванович","Гуріненко
Олексій
Миколайович","Казарін
Володимир
Павлович","Книрік
Костянтин
Сергійович","Коз’якова
Ірена
В’ячеславівна","Костюк
Віктор
Георгійович","Крутов
Сергій
Валерійович","Макєєв
Михайло
Андрійович","Миронов
Олександр
Володимирович","Писана
Олена
Вікторівна","Поздняков
Андрій
Володимирович","Похилюк
Євгеній
Олександрович","Ременюк
Олексій
Іванович","Решетнікова
Світлана
Анатоліївна","Сейненський
Алішер
Вікторович","Терещенко
Олена
Вікторівна","Тещаєва
Олена
Володимирівна","Тутєров
Володимир
Лукич","Устіменко
Андрій
Ігорович","Хруслова
Ліліана
Мударисівна","Чийгоз
Ахтем
Зейтуллайович"
"010040","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Леніна, 128А, с.Віліне, Бахчисарайський р-н, Автономна Республіка Крим, 98433","1818","935","1811","30","856","27","883","","0","856","27","883","45","838","20","79","262","9","5","4","3","0","2","5","10","2","5","6","25","2","1","7","3","34","2","4",""
"010041","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Чапаєва, 16А, с.Віліне, Бахчисарайський р-н, Автономна Республіка Крим, 98433","1254","684","1243","11","559","11","570","","0","559","11","570","35","535","33","85","241","3","6","3","4","1","3","8","2","1","6","1","30","3","1","6","1","35","2","1",""
"010042","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Річкова, 6А, с.Піщане, Бахчисарайський р-н, Автономна Республіка Крим, 98431","747","377","737","15","357","13","370","","0","357","13","370","20","350","17","40","177","2","3","4","1","1","4","4","2","2","1","0","33","2","0","2","1","8","0","1",""
"010043","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Велика Морська, 8, Берегове, Бахчисарайський р-н, Автономна Республіка Крим, 98432","672","302","670","22","350","20","370","","0","350","20","370","12","358","21","38","154","2","1","1","2","0","0","0","1","1","14","0","16","1","2","2","2","3","3","1",""
"010044","10","Автономна Республіка Крим","будинок культури, хол
вул.Сотника, 9, с.Табачне, Бахчисарайський р-н, Автономна Республіка Крим, 98430","1560","707","1539","56","797","56","853","","0","797","56","853","44","809","18","87","542","2","9","11","1","0","5","3","2","5","2","4","65","3","0","7","2","28","1","3",""
"010045","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Леніна, 65, с.Углове, Бахчисарайський р-н, Автономна Республіка Крим, 98435","1653","770","1652","30","853","30","883","","0","853","30","883","44","839","29","131","374","5","3","8","4","1","6","5","4","1","6","1","116","7","1","6","3","14","0","3",""
"010046","10","Автономна Республіка Крим","сільська рада, фойє
вул.Леніна, 68, с.Углове, Бахчисарайський р-н, Автономна Республіка Крим, 98435","975","451","975","11","513","11","524","","0","513","11","524","20","504","36","60","170","4","2","2","4","2","2","3","7","3","3","3","64","2","0","3","1","7","2","3",""
"010047","10","Автономна Республіка Крим","клуб, актова зала
вул.Центральна, 30, с.Суворове, Бахчисарайський р-н, Автономна Республіка Крим, 98453","414","141","407","26","247","26","273","","0","246","26","272","19","253","17","17","137","4","0","3","1","2","1","1","3","1","0","0","4","0","2","0","1","1","0","0",""
"010048","10","Автономна Республіка Крим","клуб, хол
вул.Ворошилова, 22, с.Айвове, Бахчисарайський р-н, Автономна Республіка Крим, 98452","342","124","353","12","206","12","218","","0","206","12","218","7","211","6","19","117","0","1","1","1","0","0","3","2","0","1","1","3","0","0","3","1","5","1","0",""
"010049","10","Автономна Республіка Крим","клуб, актова зала
вул.Зарічна, 27, с.Тінисте, Бахчисарайський р-н, Автономна Республіка Крим, 98452","861","414","850","29","421","26","447","","0","421","26","447","25","422","23","34","166","4","2","8","1","4","1","1","6","1","6","1","24","2","1","5","1","16","3","1",""
"010050","10","Автономна Республіка Крим","ферма, адміністративний корпус
вул.Гагаріна, 26, с.Некрасовка, Бахчисарайський р-н, Автономна Республіка Крим, 98454","258","108","253","11","140","10","150","","0","140","10","150","6","144","3","14","71","2","0","2","0","2","1","1","1","1","1","0","6","0","0","0","2","8","3","0",""
"010051","10","Автономна Республіка Крим","контора, актова зала
вул.Фрунзе, 18, с.Красна Зоря, Бахчисарайський р-н, Автономна Республіка Крим, 98452","246","98","242","9","140","8","148","","0","140","8","148","9","139","5","8","77","1","1","2","0","1","1","0","2","3","1","1","12","1","0","2","0","2","3","1",""
"010052","10","Автономна Республіка Крим","клуб, хол
вул.Куйбишева, 50, с.Новеньке, Бахчисарайський р-н, Автономна Республіка Крим, 98450","438","180","438","8","250","8","258","","0","250","8","258","12","246","3","8","60","0","0","4","1","0","1","0","2","0","3","1","7","0","3","1","1","5","1","2",""
"010053","10","Автономна Республіка Крим","клуб, хол
вул.Ювілейна, клуб, с.Фурмановка, Бахчисарайський р-н, Автономна Республіка Крим, 98451","609","291","597","7","311","7","318","","0","311","7","318","26","292","12","29","141","3","1","9","0","2","5","1","2","3","4","1","16","2","1","0","0","5","3","3",""
"010054","10","Автономна Республіка Крим","амбулаторія, хол
вул.Леніна, 36, с.Долінне, Бахчисарайський р-н, Автономна Республіка Крим, 98450","1344","659","1339","28","658","27","685","","0","658","27","685","30","655","28","45","246","7","4","17","1","1","4","4","11","4","3","1","54","5","5","4","2","22","4","4",""
"010055","10","Автономна Республіка Крим","будинок культури, актова зала
вул.Каштанова, будинок культури, с.Залізничне, Бахчисарайський р-н, Автономна Республіка Крим, 98462","1362","715","1359","21","626","21","647","","0","626","21","647","27","620","13","47","238","3","3","18","1","2","2","3","2","5","0","5","40","4","2","1","3","22","1","2",""
"010056","10","Автономна Республіка Крим","клуб, актова зала
вул.Леніна, клуб, с.Тургенєвка, Бахчисарайський р-н, Автономна Республіка Крим, 98463","1593","771","1577","29","795","27","822","","0","795","27","822","28","794","14","47","236","3","2","7","2","5","0","2","2","2","3","3","41","6","7","10","2","15","1","3",""
"010057","10","Автономна Республіка Крим","сільський клуб, хол
вул.Гагаріна, 55А, с.Передущельне, Бахчисарайський р-н, Автономна Республіка Крим, 98461","828","449","814","35","345","34","379","","0","345","34","379","12","367","19","36","179","3","3","7","1","2","0","3","0","1","3","2","40","2","1","2","1","11","2","1",""
"010058","10","Автономна Республіка Крим","будинок культури, хол
вул.Содова, 22А, с.Верхоріччя, Бахчисарайський р-н, Автономна Республіка Крим, 98460","1326","761","1307","7","558","7","565","","0","558","7","565","28","537","9","48","268","2","2","26","4","3","0","6","3","3","5","0","42","2","3","4","3","22","1","4",""
"010059","10","Автономна Республіка Крим","клуб, хол
вул.Леніна, 34, с.Красний Мак, Бахчисарайський р-н, Автономна Республіка Крим, 98464","1290","608","1282","39","645","37","682","","0","645","37","682","39","643","51","44","246","2","0","15","5","5","4","3","7","1","6","5","28","2","3","13","3","11","2","2",""
"010060","10","Автономна Республіка Крим","клуб, хол
вул.Радянська, 6, с.Залісне, Бахчисарайський р-н, Автономна Республіка Крим, 98464","285","121","288","14","150","14","164","","0","150","14","164","13","151","8","26","49","1","1","1","3","1","1","1","0","0","4","0","6","1","0","2","1","6","0","0",""
