"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрєєва
Наталя
Євгенівна","Анелікова
Євгенія
Андріївна","Грива
Олег
Олександрович","Жаріков
Іван
Петрович","Іванов
Володимир
Кіндратович","Канівець
Наталія
Іванівна","Кулєша
Сергій
Анатолійович","Лебедєв
Ігор
Володимирович","Лесів
Ігор
Михайлович","Луміковський
Микола
Миколайович","Ляшенко
Олександр
Юрійович","Мельник
Володимир
Олександрович","Мельнікова
Тетяна
Богданівна","Муравейник
Юрій
Анатолійович","Нечаєв
Олександр
Ігоревич","Плошихіна
Наталя
Василівна","Постєвая
Тамара
Григорівна","Тарасов
Валерій
Іванович","Толочко
Елла
Петрівна","Дата підписання протоколу"
"010454","9","Автономна Республіка Крим","школа, фойє
вул.Леніна, 4, с.Стахановка, Первомайський р-н, Автономна Республіка Крим, 96346","808","388","801","39","387","33","420","","0","387","33","420","24","396","9","7","10","1","3","2","1","6","26","8","7","14","0","6","214","2","5","2","73","28.10.12"
"010455","9","Автономна Республіка Крим","школа, спортивна зала
вул.50 років ВЛКСМ, 36, с.Степне, Первомайський р-н, Автономна Республіка Крим, 96320","1260","614","1251","43","610","36","646","","0","610","36","646","24","622","6","25","4","3","3","1","1","6","87","16","6","26","3","0","380","5","7","3","40","29.10.12"
"010456","9","Автономна Республіка Крим","сільський клуб, фойє
вул.А.Колесника, 21, с.Криловка, Первомайський р-н, Автономна Республіка Крим, 96320","212","121","210","2","90","1","91","","0","90","1","91","5","86","3","0","0","1","0","0","0","0","9","3","2","5","3","1","56","1","1","0","1","28.10.12"
"010457","9","Автономна Республіка Крим","школа, фойє
вул.Молодіжна, 1, с.Сусаніне, Первомайський р-н, Автономна Республіка Крим, 96332","756","255","751","23","479","22","501","","0","479","22","501","18","483","7","5","5","5","4","4","1","3","24","6","2","16","0","4","366","0","6","3","22","29.10.12"
"010458","9","Автономна Республіка Крим","ФАП, приймальня
вул.Інтернаціональна, 12, с.Рівне, Первомайський р-н, Автономна Республіка Крим, 96332","140","67","139","7","66","7","73","","0","66","7","73","3","70","2","3","1","0","0","1","2","2","5","1","3","0","0","0","44","1","1","2","2","28.10.12"
"010459","9","Автономна Республіка Крим","школа, фойє, 1-й поверх
вул.Свердлова, 24, с.Чернове, Первомайський р-н, Автономна Республіка Крим, 96344","732","367","724","36","336","29","365","","0","336","29","365","16","349","11","8","0","0","3","0","3","5","72","4","4","0","40","3","170","4","10","3","9","28.10.12"
"010460","9","Автономна Республіка Крим","ФАП, приймальня
вул.Кірова, 22, с.Каштанівка, Первомайський р-н, Автономна Республіка Крим, 96344","228","94","228","9","125","9","134","","0","125","9","134","10","124","3","3","1","1","0","0","0","1","17","1","2","5","2","4","80","1","0","0","3","29.10.12"
"010461","9","Автономна Республіка Крим","Первомайська центральна районна лікарня, дитяча консультація, фойє
вул.Леніна, 162, смт Первомайське, Первомайський р-н, Автономна Республіка Крим, 96300","172","136","52","24","14","22","36","","0","14","22","36","1","35","2","1","0","1","0","0","0","0","3","4","1","1","0","0","21","0","1","0","0","28.10.12"
"010462","9","Автономна Республіка Крим","будинок культури, актова зала
вул.Леніна, 39, смт Роздольне, Роздольненський р-н, Автономна Республіка Крим, 96200","2100","1022","2094","30","1050","28","1078","","0","1050","28","1078","46","1032","11","20","11","1","5","70","108","6","88","1","5","76","0","5","463","4","3","11","144","28.10.12"
"010463","9","Автономна Республіка Крим","районна бібліотека, фойє
вул.Леніна, 9, смт Роздольне, Роздольненський р-н, Автономна Республіка Крим, 96200","2252","1152","2222","79","1031","69","1100","","0","1031","69","1100","35","1065","14","30","11","2","2","55","106","3","124","0","11","63","2","5","514","4","10","6","103","30.10.12"
"010464","9","Автономна Республіка Крим","СПМК-73, актова зала
вул.Євпаторійське шосе, 21, смт Роздольне, Роздольненський р-н, Автономна Республіка Крим, 96200","2288","1212","2250","29","1051","25","1076","","0","1051","25","1076","57","1019","23","27","9","4","10","66","212","6","104","1","6","55","7","3","330","10","9","11","126","28.10.12"
"010465","9","Автономна Республіка Крим","школа, спортивна зала
вул.Леніна, 13, смт Новоселівське, Роздольненський р-н, Автономна Республіка Крим, 96274","1500","903","1493","62","548","49","597","","0","548","49","597","29","568","12","11","3","4","5","11","7","2","31","2","8","33","2","1","341","8","11","2","74","29.10.12"
"010466","9","Автономна Республіка Крим","ПСП ""Монтанай"", актова зала
вул.Маєвська, 17, смт Новоселівське, Роздольненський р-н, Автономна Республіка Крим, 96274","780","341","785","42","398","41","439","","0","398","41","439","23","416","6","6","10","5","5","2","13","3","23","0","16","12","1","3","262","2","3","2","42","29.10.12"
"010467","9","Автономна Республіка Крим","будинок культури, фойє
вул.Гагаріна, 56, с.Березівка, Роздольненський р-н, Автономна Республіка Крим, 96260","1288","652","1280","51","591","45","636","","0","591","45","636","28","608","11","30","11","3","6","6","19","9","76","2","26","44","2","4","319","5","4","3","28","29.10.12"
"010468","9","Автономна Республіка Крим","дитячий садочок, актова зала
вул.Леніна, 41, с.Нива, Роздольненський р-н, Автономна Республіка Крим, 96261","540","242","530","22","276","22","298","","0","276","22","298","18","280","5","5","6","3","2","8","13","4","30","2","4","18","2","3","133","2","1","1","38","28.10.12"
"010469","9","Автономна Республіка Крим","будинок культури, зала
вул.Дубініна, 12, с.Ботанічне, Роздольненський р-н, Автономна Республіка Крим, 96213","1528","834","1512","37","661","33","694","","0","661","33","694","30","664","16","16","13","6","5","28","48","4","66","3","8","40","7","4","297","5","7","9","82","29.10.12"
"010470","9","Автономна Республіка Крим","будинок культури, зала
вул.40 років Перемоги, 42, с.Кумове, Роздольненський р-н, Автономна Республіка Крим, 96214","808","326","799","20","464","18","482","","0","464","18","482","49","433","9","10","7","7","4","21","64","7","40","2","7","37","9","1","137","1","8","2","60","29.10.12"
"010471","9","Автономна Республіка Крим","школа, фойє
вул.Гагаріна, 24, с.Зимине, Роздольненський р-н, Автономна Республіка Крим, 96270","636","268","628","25","347","21","368","","0","347","21","368","10","358","4","5","4","3","2","2","2","2","24","0","2","6","0","2","236","3","6","2","53","28.10.12"
"010472","9","Автономна Республіка Крим","сільський клуб, зала
вул.Жовтнева, 8, с.Красноармійське, Роздольненський р-н, Автономна Республіка Крим, 96273","432","231","425","12","190","11","201","","0","190","11","201","5","196","3","5","3","1","2","9","5","3","28","0","2","7","0","1","109","3","2","0","13","28.10.12"
"010473","9","Автономна Республіка Крим","школа, фойє
вул.30 років Перемоги, 10, с.Ковильне, Роздольненський р-н, Автономна Республіка Крим, 96240","740","313","730","45","385","42","427","","0","385","42","427","14","413","0","4","0","2","1","16","14","3","31","1","14","15","1","1","234","0","6","2","68","29.10.12"
"010474","9","Автономна Республіка Крим","будинок культури, зала
вул.Кірова, 1, с.Волочаївка, Роздольненський р-н, Автономна Республіка Крим, 96240","272","106","272","18","148","18","166","","0","148","18","166","16","150","1","1","10","2","1","4","5","1","11","0","3","2","1","1","82","5","2","2","16","29.10.12"
