"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Безрученко
Володимир
Олександрович","Варченко
Іван
Григорович","Кацуба
Володимир
Михайлович","Коробка
Юрій
Олексійович","Третьяк
Вікторія
Валеріївна","Дата підписання протоколу"
"630816","175","Харківська область","Затишанський будинок культури, актова зала
вул.Харківська, 6, с.Затишшя, Харківський р-н, Харківська обл., 62406","584","178","575","29","377","29","406","","0","377","29","406","20","386","44","36","216","56","34","29.10.12"
"630817","175","Харківська область","Фрунзенський клуб, актова зала
вул.Фрунзенська, 1А, с-ще Фрунзе, Харківський р-н, Харківська обл., 62407","504","154","500","25","328","22","350","","0","328","22","350","18","332","16","18","268","21","9","29.10.12"
"630818","175","Харківська область","Кутузівська школа, фойє, 1-й поверх
вул.Шкільна, 15, с-ще Кутузівка, Харківський р-н, Харківська обл., 62405","1240","507","1234","78","664","69","733","","0","664","69","733","53","680","90","157","265","102","66","29.10.12"
"630819","175","Харківська область","Будинок культури, читальна зала
вул.Шкільна, 12Б, с-ще Радгоспне, Харківський р-н, Харківська обл., 62408","1368","571","1336","85","717","80","797","","0","717","80","797","40","757","173","100","331","96","57","29.10.12"
"630829","175","Харківська область","Жовтнева сільська рада, актова зала
вул.Ворошилова, 46, с.Жовтневе, Харківський р-н, Харківська обл., 62415","1240","571","1223","71","606","63","669","","0","606","63","669","22","647","65","69","430","54","29","29.10.12"
"630830","175","Харківська область","Тернівська школа, фойє, 1-й поверх
вул.Радянська, 15А, с.Тернова, Харківський р-н, Харківська обл., 62421","544","240","522","29","276","28","304","","0","276","28","304","15","289","42","42","177","14","14","29.10.12"
"630831","175","Харківська область","Переможанська школа, фойє, 2-й поверх
вул.Леніна, 13, с.Перемога, Харківський р-н, Харківська обл., 62422","576","193","568","49","336","47","383","","0","336","47","383","17","366","38","95","196","22","15","29.10.12"
"630833","175","Харківська область","Липецька школа імені П.В.Щепкіна, спортзал, 1-й поверх
вул.Леніна, 2, с.Липці, Харківський р-н, Харківська обл., 62414","1544","667","1540","127","782","95","877","","0","782","95","877","42","835","83","93","568","51","40","30.10.12"
"630834","175","Харківська область","Липецький будинок культури, фойє
вул.Пушкінська, 98, с.Липці, Харківський р-н, Харківська обл., 62414","2040","1092","2020","66","894","54","948","","0","894","54","948","36","912","112","101","585","77","37","29.10.12"
"630835","175","Харківська область","Лук’янцівська школа, фойє, 1-й поверх
вул.Шкільна, 3, с.Лук’янці, Харківський р-н, Харківська обл., 62312","888","412","874","27","452","24","476","","0","452","24","476","12","464","28","31","373","23","9","29.10.12"
"630836","175","Харківська область","Борисівська школа, фойє, 1-й поверх
вул.Садова, 1, с.Борисівка, Харківський р-н, Харківська обл., 62312","488","236","477","30","226","26","252","","0","226","26","252","5","247","19","14","193","15","6","29.10.12"
"630840","175","Харківська область","Черкасько-Тишківський клуб, актова зала
вул.Голдобіна, 1А, с.Черкаські Тишки, Харківський р-н, Харківська обл., 62440","1064","585","1063","44","445","34","479","","0","445","34","479","22","457","46","93","245","52","21","29.10.12"
"630841","175","Харківська область","Русько-Тишківська школа, фойє, 1-й поверх
вул.Липецька, 5, с.Руські Тишки, Харківський р-н, Харківська обл., 62440","1712","865","1668","70","784","63","847","","0","784","63","847","31","816","95","128","466","77","50","29.10.12"
"630842","175","Харківська область","Циркунівська лікарня, фойє, 1-й поверх
вул.Червоноармійська, 9, с.Циркуни, Харківський р-н, Харківська обл., 62441","1016","527","1004","20","481","8","489","","0","481","8","489","37","452","68","106","200","45","33","29.10.12"
"630843","175","Харківська область","Циркунівський будинок культури, актова зала
вул.Кірова, 26А, с.Циркуни, Харківський р-н, Харківська обл., 62441","1592","866","1587","40","704","22","726","","0","704","22","726","51","675","125","148","308","66","28","29.10.12"
"630844","175","Харківська область","Циркунівська школа, фойє, 1-й поверх
вул.Кірова, 32, с.Циркуни, Харківський р-н, Харківська обл., 62441","1184","634","1183","25","530","20","550","","0","530","20","550","34","516","57","113","256","64","26","29.10.12"
"630845","175","Харківська область","КЖЕП Циркунівської сільради, актова зала, 2-й поверх
вул.МЖК ""Інтернаціоналіст"", 50, с.Циркуни, Харківський р-н, Харківська обл., 62442","2048","1061","2049","24","968","19","987","","0","968","19","987","43","944","134","214","296","240","60","29.10.12"
"630848","175","Харківська область","Пісочинська школа, спортзал
вул.1-го Травня, 5, смт Пісочин, Харківський р-н, Харківська обл., 62416","1016","480","1028","14","529","7","536","","0","529","7","536","21","515","72","126","214","74","29","29.10.12"
"630849","175","Харківська область","санаторій ""Роща"", фойє
вул.Санаторна, 46/2, смт Пісочин, Харківський р-н, Харківська обл., 62417","976","444","958","35","506","26","532","","0","506","26","532","27","505","76","118","218","67","26","29.10.12"
"630850","175","Харківська область","будинок культури, фойє, 1-й поверх
вул.Полтавське шосе, 114, смт Пісочин, Харківський р-н, Харківська обл., 62418","1640","907","1603","18","716","17","733","","0","716","17","733","31","702","67","215","302","67","51","29.10.12"
"630851","175","Харківська область","Пісочинський колегіум, їдальня
вул.Клубна, 5, смт Пісочин, Харківський р-н, Харківська обл., 62416","2112","1071","2106","50","1011","30","1041","","0","1011","30","1041","36","1005","128","343","352","135","47","29.10.12"
"630852","175","Харківська область","учбовий центр МінАПК, фойє
вул.Некрасова, 11, смт Пісочин, Харківський р-н, Харківська обл., 62416","2080","1079","2082","33","981","20","1001","","0","981","20","1001","32","969","95","325","390","109","50","29.10.12"
"630853","175","Харківська область","Пісочинська селищна рада, зала засідань, 1-й поверх
пров.Транспортний, 2, смт Пісочин, Харківський р-н, Харківська обл., 62416","2456","1444","2421","18","1001","11","1012","","0","1001","11","1012","56","956","122","213","398","147","76","29.10.12"
"630854","175","Харківська область","адміністративний будинок ВАТ ""Маяк"", фойє
вул.Коцюбинського, 2, с.Надточії, Харківський р-н, Харківська обл., 62418","616","310","605","11","295","11","306","","0","295","11","306","17","289","43","53","149","23","21","29.10.12"
"630855","175","Харківська область","магазин ""ЧП Гончаренко О.В."", фойє
вул.Рай-Оленівська, 1, с-ще Рай-Оленівка, Харківський р-н, Харківська обл., 62402","536","250","522","5","283","3","286","","0","283","3","286","18","268","29","71","110","40","18","29.10.12"
"630856","175","Харківська область","супермаркет ""Е-ДА"", фойє, 2-й поверх
в’їзд Набережний, 7, смт Пісочин, Харківський р-н, Харківська обл., 62418","2312","1107","2362","10","1198","7","1205","","0","1197","7","1204","53","1151","158","264","463","194","72","29.10.12"
