"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Величко
Катерина
Олександрівна","Галілей
Анатолій
Степанович","Завротська
Тетяна
Вікторівна","Колесников
Денис
Вікторович","Макаров
Владислав
Леонідович","Морозенко
Євгеній
Вадимович","Осташ
Євген
Дмитрович","Петров
Вадим
Григорович","Средняк
Валерій
Якович","Табурянський
Леопольд
Іванович","Терешко
Руслан
Ігоревич","Тигов
Олександр
Олександрович","Чукмасов
Сергій
Олександрович","Шендрик
Анатолій
Миколайович","Шинкаренко
Ігор
Петрович","Шинкаренко
Наталія
Володимирівна","Дата підписання протоколу"
"121432","28","Дніпропетровська область","школа №141, коридор, 2-й поверх
вул.Моніторна, 3, м.Дніпропетровськ, 49018","1804","899","1781","15","893","12","905","","0","893","12","905","29","876","15","143","7","33","3","301","4","5","3","59","10","17","69","5","114","88","29.10.12"
"121433","28","Дніпропетровська область","школа №141, коридор, 2-й поверх
вул.Моніторна, 3, м.Дніпропетровськ, 49018","2312","1130","2289","17","1167","15","1182","","0","1167","15","1182","46","1136","18","179","19","46","7","407","3","4","2","57","10","19","89","5","137","134","29.10.12"
"121434","28","Дніпропетровська область","школа №132, рекреація, 2-й поверх
пров.Парусний, 14, м.Дніпропетровськ, 49018","2184","1038","2144","13","1136","10","1146","","0","1136","10","1146","48","1098","13","219","4","33","11","361","4","5","3","60","10","19","89","7","126","134","29.10.12"
"121435","28","Дніпропетровська область","школа №132, рекреація, 2-й поверх
пров.Парусний, 14, м.Дніпропетровськ, 49018","2308","1106","2285","17","1188","14","1202","","0","1188","14","1202","48","1154","15","199","6","28","5","389","6","5","3","79","6","14","115","7","128","149","29.10.12"
"121436","28","Дніпропетровська область","школа №54, вестибюль, 1-й поверх
пров.Парусний, 3, м.Дніпропетровськ, 49018","2020","996","1992","18","1011","13","1024","","0","1011","13","1024","29","995","14","186","11","56","3","312","6","3","6","70","8","15","70","9","115","111","29.10.12"
"121437","28","Дніпропетровська область","школа №54, рекреація, 2-й поверх
пров.Парусний, 3, м.Дніпропетровськ, 49018","2268","1105","2231","15","1153","10","1163","","0","1153","10","1163","48","1115","12","231","9","51","1","415","11","5","1","56","9","19","82","11","126","76","29.10.12"
"121438","28","Дніпропетровська область","школа №54, рекреація, 3-й поверх
пров.Парусний, З, м.Дніпропетровськ, 49018","1280","713","1270","8","562","5","567","","0","562","5","567","24","543","10","77","9","18","5","195","3","3","5","30","5","16","36","4","63","64","29.10.12"
"121439","28","Дніпропетровська область","Дніпропетровська міська клінічна лікарня №2
пр.Калініна, 53, м.Дніпропетровськ, 49064","448","29","419","219","200","219","419","","0","200","219","419","14","405","16","17","5","27","6","216","2","9","5","16","6","12","21","2","23","22","29.10.12"
"121440","28","Дніпропетровська область","Дніпропетровська міська багатопрофільна клінічна лікарня №4
вул.Ближня, 31, м.Дніпропетровськ, 49102","772","17","782","137","620","135","755","","0","620","135","755","44","711","11","45","16","31","12","384","13","3","7","20","6","20","25","8","64","46","29.10.12"
"121441","28","Дніпропетровська область","Дніпропетровська міська лікарня №5
вул.Братів Трофімових, 111, м.Дніпропетровськ, 49128","264","64","200","45","155","45","200","","0","155","45","200","10","190","1","12","7","7","3","107","0","1","1","3","0","3","12","2","12","19","28.10.12"
"121442","28","Дніпропетровська область","Дніпропетровська міська клінічна лікарня №11
вул.Коллонтай, 1, м.Дніпропетровськ, 49068","284","3","281","25","256","25","281","","0","256","25","281","19","262","4","6","2","20","2","152","0","1","1","18","0","4","14","0","19","19","28.10.12"
"121443","28","Дніпропетровська область","Дніпропетровська виправна колонія №89
вул.Будьонного, 1А ДВК-89, м.Дніпропетровськ, 49102","880","24","856","15","841","15","856","","0","841","15","856","115","741","59","33","28","20","17","256","12","15","12","78","13","55","19","33","55","36","29.10.12"
