"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Герасим’юк
Ольга
Володимирівна","Пресман
Олександр
Семенович","Тюхтій
Микола
Петрович","Царьков
Євген
Ігорович","Дата підписання протоколу"
"510746","139","Одеська область","школа, кабінет фізики
вул.Шкільна, с.Кам’янка, Роздільнянський р-н, Одеська обл., 67432","1488","798","1474","37","662","28","690","","0","662","28","690","21","669","89","459","11","110","28.10.12"
"510747","139","Одеська область","школа, спортивна зала
вул.Залізнична, 2, с.Кірове, Роздільнянський р-н, Одеська обл., 67460","896","414","884","58","431","51","482","","0","431","51","482","43","439","135","217","17","70","28.10.12"
"510748","139","Одеська область","школа, фойє, 1-поверх
вул.Центральна, 44, с.Кошари, Роздільнянський р-н, Одеська обл., 67423","656","276","649","20","361","19","380","","0","361","19","380","28","352","105","189","10","48","28.10.12"
"510749","139","Одеська область","будинок культури, фойє
вул.Леніна, 109/4, с.Кучурган, Роздільнянський р-н, Одеська обл., 67450","1496","876","1484","38","590","30","620","","0","590","30","620","32","588","111","378","13","86","29.10.12"
"510750","139","Одеська область","школа, фойє
вул.Леніна, 177/1, с.Кучурган, Роздільнянський р-н, Одеська обл., 67450","1568","916","1561","56","609","43","652","","0","609","43","652","23","629","128","392","20","89","29.10.12"
"510751","139","Одеська область","сільський клуб, актова зала
вул.Будівельна, 6, с.Новокостянтинівка, Роздільнянський р-н, Одеська обл., 67410","520","214","516","33","282","24","306","","0","282","24","306","17","289","49","187","16","37","29.10.12"
"510752","139","Одеська область","школа, фойє, 1-поверх
вул.Леніна, 58, с.Новоукраїнка, Роздільнянський р-н, Одеська обл., 67441","880","411","875","93","380","89","469","","0","380","89","469","11","458","145","277","4","32","04.11.12"
"510753","139","Одеська область","сільський клуб, актова зала
вул.Пушкінська, 79, с.Понятівка, Роздільнянський р-н, Одеська обл., 67422","832","64","820","24","744","24","768","","0","744","24","768","15","753","99","612","19","23","28.10.12"
"510754","139","Одеська область","школа, спортивна зала
вул.Фрунзе, 28, с.Старостине, Роздільнянський р-н, Одеська обл., 67400","1472","710","1489","101","677","85","762","","0","677","85","762","44","718","159","434","24","101","29.10.12"
"510755","139","Одеська область","школа, фойє
вул.Центральна, 36, с.Слобідка, Роздільнянський р-н, Одеська обл., 67421","440","242","433","32","174","24","198","","0","174","24","198","12","186","30","137","5","14","28.10.12"
"510756","139","Одеська область","будинок культури, актова зала
вул.Котовського, 29, с.Степанівка, Роздільнянський р-н, Одеська обл., 67430","1808","754","1780","47","1012","42","1054","","0","1012","42","1054","16","1038","162","715","60","101","29.10.12"
"510757","139","Одеська область","школа, к.2
вул.Шкільна, 57, с.Павлівка, Роздільнянський р-н, Одеська обл., 67431","936","499","927","16","422","15","437","","0","422","15","437","14","423","48","286","9","80","28.10.12"
"510758","139","Одеська область","школа, фойє
вул.Чернишова, 14, с.Степове, Роздільнянський р-н, Одеська обл., 67451","1160","620","1148","48","508","32","540","","0","508","32","540","18","522","107","317","7","91","28.10.12"
"510759","139","Одеська область","школа, фойє
вул.Леніна, 26, с.Піонерське, Роздільнянський р-н, Одеська обл., 67451","400","99","395","10","291","10","301","","0","291","10","301","14","287","45","180","6","56","28.10.12"
"510760","139","Одеська область","будинок культури, актова зала
вул.Суворова, 69, с.Щербанка, Роздільнянський р-н, Одеська обл., 67462","1208","595","1201","59","565","48","613","","0","565","48","613","32","581","91","415","15","60","29.10.12"
"510761","139","Одеська область","школа, фойє, 1-й поверх
вул.Покровська, 116, с.Яковлівка, Роздільнянський р-н, Одеська обл., 67412","1408","706","1392","80","625","77","702","","0","625","77","702","27","675","138","460","15","62","29.10.12"
"510894","139","Одеська область","школа, фойє
школа, с.Василівка, Фрунзівський р-н, Одеська обл., 66730","320","49","315","9","262","9","271","","0","262","9","271","1","270","33","215","9","13","28.10.12"
"510895","139","Одеська область","школа, фойє
школа, с.Весела Балка, Фрунзівський р-н, Одеська обл., 66740","256","17","248","47","193","46","239","","0","193","46","239","0","239","49","183","0","7","29.10.12"
"510896","139","Одеська область","школа, фойє
школа, с.Войничеве, Фрунзівський р-н, Одеська обл., 66744","456","100","451","27","329","27","356","","0","329","27","356","3","353","12","307","9","25","28.10.12"
"510897","139","Одеська область","селищна рада, каб.2
вул.Суворова, 34, смт Затишшя, Фрунзівський р-н, Одеська обл., 6640","1416","298","1417","72","1047","71","1118","","0","1047","71","1118","33","1085","95","862","17","111","04.11.12"
"510898","139","Одеська область","будинок культури, фойє
вул.Леніна, 29, смт Затишшя, Фрунзівський р-н, Одеська обл., 66740","1528","340","1518","94","1100","88","1188","","0","1100","88","1188","27","1161","207","828","12","114","28.10.12"
"510899","139","Одеська область","будинок культури, актова зала
будинок культури, с.Йосипівка, Фрунзівський р-н, Одеська обл., 66731","744","295","740","50","402","47","449","","0","402","47","449","13","436","65","332","9","30","28.10.12"
