"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Гречко
Володимир
Васильович","Данильчук
Олександр
Юрійович","Добриднік
Микола
Мусійович","Корнійко
Роман
Іванович","Кособуцький
Олексій
Миколайович","Кучерук
Микола
Герасимович","Максимов
Олександр
Іванович","Овчинніков
Сергій
Михайлович","Старовецький
Володимир
Миколайович","Сухан
Віктор
Григорович","Федас
Віктор
Васильович","Циганенко
Андрій
Володимирович","Шершун
Микола
Харитонович","Дата підписання протоколу"
"560463","156","Рівненська область","школа, ігрова кімната
вул.Старе Село, 15, с.Чудви, Костопільський р-н, Рівненська обл., 35051","140","55","136","5","80","5","85","","0","80","5","85","2","83","0","7","0","1","2","38","0","0","0","0","1","3","31","29.10.12"
"560464","156","Рівненська область","школа, фойє
вул.Гагаріна, 29, с.Вигін, Костопільський р-н, Рівненська обл., 35040","272","67","270","10","195","10","205","","0","195","10","205","4","201","5","9","15","0","0","16","1","2","1","2","0","3","147","29.10.12"
"560465","156","Рівненська область","школа, актова зала
вул.Шкільна, 2, с.Злазне, Костопільський р-н, Рівненська обл., 35040","1188","365","1174","43","781","42","823","","0","781","42","823","9","814","3","43","4","3","0","79","1","0","0","3","6","1","671","29.10.12"
"560466","156","Рівненська область","школа, фойє
вул.Соборна, 4, с.Перетоки, Костопільський р-н, Рівненська обл., 35040","248","66","244","7","175","7","182","","0","175","7","182","4","178","1","22","9","45","1","20","0","0","1","0","1","1","77","29.10.12"
"560467","156","Рівненська область","сільська рада, зала засідань
вул.Гомелюка, 33, с.Золотолин, Костопільський р-н, Рівненська обл., 35016","680","258","664","85","344","78","422","","0","344","78","422","6","416","45","18","9","15","2","181","3","5","3","0","4","1","130","29.10.12"
"560468","156","Рівненська область","сільський клуб, танцювальна зала
вул.Центральна, 6А, с.Комарівка, Костопільський р-н, Рівненська обл., 35016","132","36","127","5","91","5","96","","0","91","5","96","3","93","3","20","1","9","1","35","0","0","0","1","0","4","19","28.10.12"
"560469","156","Рівненська область","клуб, актова зала
вул.Л.Українки, 53А, с.Тростянець, Костопільський р-н, Рівненська обл., 35016","164","46","163","18","102","16","118","","0","102","16","118","6","112","4","7","5","1","0","62","0","1","0","1","3","3","25","28.10.12"
"560470","156","Рівненська область","сільський клуб, танцювальна зала
вул.Кузнєцова, 5, с.Борщівка, Костопільський р-н, Рівненська обл., 35061","628","250","619","15","363","15","378","","0","363","15","378","14","364","8","20","2","4","3","126","9","3","0","1","4","9","175","29.10.12"
"560471","156","Рівненська область","школа, класна кімната
вул.Центральна, 82, с.Лісопіль, Костопільський р-н, Рівненська обл., 35065","592","264","581","22","307","21","328","","0","307","21","328","11","317","18","49","5","8","4","125","5","6","5","2","6","6","78","28.10.12"
"560472","156","Рівненська область","сільський клуб, танцювальна зала
вул.Дружби, 36, с.Мала Любаша, Костопільський р-н, Рівненська обл., 35009","860","317","847","27","520","23","543","","0","520","23","543","16","527","7","37","11","15","11","190","4","0","7","2","7","10","226","28.10.12"
"560473","156","Рівненська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Ватутіна, 32, с.Ледне, Костопільський р-н, Рівненська обл., 35013","64","20","63","9","35","9","44","","0","35","9","44","1","43","1","9","2","0","1","11","0","1","3","0","0","0","15","28.10.12"
"560474","156","Рівненська область","будинок культури, танцювальна зала
вул.Шевченка, 58, с.Малий Мидськ, Костопільський р-н, Рівненська обл., 35013","536","183","522","35","324","29","353","","0","324","29","353","14","339","6","31","26","13","3","126","0","2","8","2","4","2","116","29.10.12"
"560475","156","Рівненська область","сільський клуб, танцювальна зала
вул.8 Березня, 3, с.Осова, Костопільський р-н, Рівненська обл., 35011","140","30","141","2","109","1","110","","0","109","1","110","7","103","4","2","6","3","1","38","0","2","1","1","0","8","37","28.10.12"
"560476","156","Рівненська область","сільський клуб, танцювальна зала
вул.Богдана Хмельницького, 12, с.Рудня, Костопільський р-н, Рівненська обл., 35013","236","62","232","17","160","14","174","","0","160","14","174","6","168","5","11","7","5","4","90","1","1","1","1","0","2","40","28.10.12"
"560477","156","Рівненська область","школа, класна кімната
вул.Липненська, 2, с.Майдан, Костопільський р-н, Рівненська обл., 35014","164","46","162","10","108","10","118","","0","108","10","118","3","115","2","2","3","4","1","28","0","0","0","0","1","3","71","28.10.12"
"560478","156","Рівненська область","сільська рада, зала засідань
вул.Сільська, 2, с.Малий Стидин, Костопільський р-н, Рівненська обл., 35014","584","182","576","33","370","32","402","","0","370","32","402","10","392","5","33","25","8","6","133","1","1","2","2","1","7","168","28.10.12"
"560479","156","Рівненська область","сільський клуб, актова зала
вул.Шевченка, 29, с.Глажева, Костопільський р-н, Рівненська обл., 35045","164","46","163","8","110","8","118","","0","110","8","118","4","114","7","2","1","0","0","26","2","0","0","1","0","2","73","28.10.12"
"560480","156","Рівненська область","сільський клуб, актова зала
вул.Садова, 71, с.Кам’яна Гора, Костопільський р-н, Рівненська обл., 35045","136","57","126","7","73","6","79","","0","73","6","79","0","79","5","5","1","2","0","28","1","0","1","0","0","4","32","28.10.12"
"560481","156","Рівненська область","сільський клуб, актова зала
вул.Центральна, 61, с.Маща, Костопільський р-н, Рівненська обл., 35044","504","225","504","20","260","19","279","","0","260","19","279","11","268","12","23","8","7","3","117","4","4","10","0","8","10","62","28.10.12"
"560482","156","Рівненська область","сільський клуб, актова зала
вул.Нікончука, 25, с.Новий Берестовець, Костопільський р-н, Рівненська обл., 35044","208","61","199","10","138","9","147","","0","138","9","147","5","142","8","17","4","0","0","53","0","0","1","1","1","0","57","28.10.12"
"560483","156","Рівненська область","сільський клуб, актова зала
вул.Колгоспна, 19, с.Данчиміст, Костопільський р-н, Рівненська обл., 35062","404","145","403","2","257","2","259","","0","257","2","259","15","244","3","13","4","4","4","121","4","1","0","1","3","6","80","28.10.12"
"560484","156","Рівненська область","будинок культури, танцювальна зала
вул.Радянська, 55, с.Мирне, Костопільський р-н, Рівненська обл., 35030","1027","463","565","38","527","37","564","","0","527","37","564","27","537","9","62","11","13","7","271","8","5","9","8","6","19","109","28.10.12"
"560485","156","Рівненська область","фельдшерсько-акушерський пункт, приймальне відділення
вул.Привокзальна, 7А, с.Моквин, Костопільський р-н, Рівненська обл., 35031","148","44","140","4","100","4","104","","0","100","4","104","6","98","3","11","7","1","2","32","1","1","5","1","1","7","26","28.10.12"
"560486","156","Рівненська область","сільський клуб, актова зала
вул.Зелена, 19, с.Тихе, Костопільський р-н, Рівненська обл., 35031","172","43","171","10","119","10","129","","0","119","10","129","2","127","4","6","7","1","1","59","1","2","0","0","1","2","43","29.10.12"
"560487","156","Рівненська область","школа, класна кімната
вул.Озерна, 1, с.Мар’янівка, Костопільський р-н, Рівненська обл., 35020","116","31","110","8","77","8","85","","0","77","8","85","1","84","6","42","1","1","1","17","0","0","1","0","1","2","12","28.10.12"
"560488","156","Рівненська область","житловий будинок, зала
вул.Шевченка, 13, с.Олександрівка, Костопільський р-н, Рівненська обл., 35020","136","31","133","10","95","10","105","","0","95","10","105","2","103","11","27","0","1","0","39","0","1","1","0","1","4","18","28.10.12"
